행정 구역,업소명,소재지,전화번호,관리구분,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
서울 노원구,(주)평안에너지상계충전소,서울 노원구 중계3동 515-5,02-972-5274,자동차충전,서울 노원구 중계3동 515-5,961808,1961175,정좌표,1.13506E+18,구주소,서울특별시 노원구 동일로210길 86,서울특별시 노원구 중계동 515-5,1758,1135062500,중계2.3동,1135010600,중계동
서울 노원구,복지공릉충전소,서울 노원구 공릉동 26-69,02-3296-2903,자동차충전,서울 노원구 공릉동 26-69,965561,1960014,정좌표,1.13501E+18,구주소,서울특별시 노원구 화랑로 826,서울특별시 노원구 공릉동 26-69,1796,1135060000,공릉2동,1135010300,공릉동
서울 노원구,태능가스(주),서울 노원구 공릉동 690-11,02-972-3031,자동차충전,서울 노원구 공릉동 690-11,962273,1957589,정좌표,1.13501E+18,구주소,서울특별시 노원구 화랑로 405,서울특별시 노원구 공릉동 690-11,1855,1135059500,공릉1동,1135010300,공릉동
서울 노원구,복지노원충전소,서울 노원구 상계동 1205-4,02-934-9077,자동차충전,서울 노원구 상계동 1205-4,960839,1965378,정좌표,1.13501E+18,구주소,,서울특별시 노원구 상계동 1205-4,1621,1135063000,상계1동,1135010500,상계동
서울 도봉구,동원가스충전소,서울 도봉구 창2동 643-2,02-902-1231,자동차충전,서울 도봉구 창2동 643-2,958762,1960637,정좌표,1.13205E+18,구주소,서울특별시 도봉구 도봉로 430,서울특별시 도봉구 창동 643-2,1461,1132051200,창2동,1132010700,창동
서울 도봉구,케이와이에너지 (주)한영충전소,서울 도봉구 쌍문2동 715-1,02-994-1181,자동차충전,서울 도봉구 쌍문2동 715-1,959547,1962439,정좌표,1.13207E+18,구주소,서울특별시 도봉구 도봉로 627,서울특별시 도봉구 쌍문동 715-1,1392,1132067000,쌍문2동,1132010500,쌍문동
서울 도봉구,(주)평안에너지 도봉충전소,서울 도봉구 도봉동 376,02-3494-5185,자동차충전,서울 도봉구 도봉동 376,959831,1965958,정좌표,1.13201E+18,구주소,서울특별시 도봉구 도봉로 983,서울특별시 도봉구 도봉동 376,1301,1132052100,도봉1동,1132010800,도봉동
서울 동대문구,복지장안충전소,서울 동대문구 답십리동 1-427,02-2213-5711,자동차충전,서울 동대문구 답십리동 1-427,961794,1953047,정좌표,1.12301E+18,구주소,서울특별시 동대문구 한천로 169,서울특별시 동대문구 답십리동 1-427,2534,1123061000,답십리2동,1123010500,답십리동
서울 동대문구,수도에너지(주)동서울충전소,서울 동대문구 휘경동 267-10,02-2244-6666,자동차충전,서울 동대문구 휘경동 267-10,961104,1954559,정좌표,1.12301E+18,구주소,서울특별시 동대문구 망우로 57,서울특별시 동대문구 휘경동 267-10,2439,1123072000,휘경1동,1123010900,휘경동
서울 동대문구,(주)홍릉가스충전소,서울 동대문구 청량리2동 205-776,02-962-9100,자동차충전,서울 동대문구 청량리2동 205-776,959503,1954729,정좌표,1.12301E+18,구주소,서울특별시 동대문구 회기로 44,서울특별시 동대문구 청량리동 205-776,2468,1123070500,청량리동,1123010700,청량리동
서울 동대문구,장안동가스충전소," 서울 동대문구 장안동 413-6,7,9 ",02-2214-5151,자동차충전,"서울 동대문구 장안동 413-6,7,9 ",961028,1951599,정좌표,1.12301E+18,구주소,서울특별시 동대문구 천호대로 353,서울특별시 동대문구 장안동 413-6,2633,1123065000,장안1동,1123010600,장안동
서울 동작구,동일석유(주)동주충전소,서울 동작구 대방동 334,02-821-2236,자동차충전,서울 동작구 대방동 334,949514,1944620,정좌표,1.15901E+18,구주소,서울특별시 동작구 상도로 74,서울특별시 동작구 대방동 334,7041,1159066000,대방동,1159010800,대방동
서울 서대문구,연일가스산업(주),서울 서대문구 북가좌1동 392-27,02-3075-4114,자동차충전,서울 서대문구 북가좌1동 392-27,947579,1952863,정좌표,1.14107E+18,구주소,서울특별시 서대문구 수색로 123,서울특별시 서대문구 북가좌동 392-27,3715,1141071000,북가좌1동,1141011900,북가좌동
서울 서대문구,테스트업소,서울 서대문구 충정로 53유원골든타워오피스텔10층1002 (충정로2가) 139,02-750-1253,기타,서울 서대문구 충정로 53유원골든타워오피스텔10층1002 (충정로2가) 139,952720,1951734,정좌표,1.14101E+18,새주소,서울특별시 서대문구 충정로 53,서울특별시 서대문구 충정로2가 191,3736,1141056500,충현동,1141010100,충정로2가
서울 서초구,(주)에이치앤디이-서울만남의광장,서울 서초구 원지동 10-16,02-573-7430,자동차충전,서울 서초구 원지동 10-16,959510,1940196,정좌표,1.16501E+18,구주소,서울특별시 서초구 양재대로12길 73-71,서울특별시 서초구 원지동 10-16,6803,1165065200,양재2동,1165010400,원지동
서울 서초구,서초충전소,서울 서초구 방배동 623-5,02-582-3636,자동차충전,서울 서초구 방배동 623-5,955376,1941672,정좌표,1.16501E+18,구주소,서울특별시 서초구 남부순환로 2224,서울특별시 서초구 방배동 623-5,6759,1165062000,방배3동,1165010100,방배동
서울 서초구,수도석유(주)방배충전소,서울 서초구 방배동 443-1 (수도석유(주)방배충전소),02-582-4141,자동차충전,서울 서초구 방배동 443-1 (수도석유(주)방배충전소),954212,1942330,정좌표,1.16501E+18,구주소,서울특별시 서초구 동작대로 26,서울특별시 서초구 방배동 443-1,6692,1165061000,방배2동,1165010100,방배동
서울 서초구,(주)영동가스,서울 서초구 잠원동 55-6,02-534-2350,자동차충전,서울 서초구 잠원동 55-6,956861,1946734,정좌표,1.16501E+18,구주소,서울특별시 서초구 잠원로 181,서울특별시 서초구 잠원동 55-6,6514,1165054000,잠원동,1165010600,잠원동
서울 성동구,대성산업(주)동부충전소,서울 성동구 성수동2가 284-108,02-463-2202,자동차충전,서울 성동구 성수동2가 284-108,960455,1950223,정좌표,1.12001E+18,구주소,서울특별시 성동구 광나루로 200,서울특별시 성동구 성수동2가 284-108,4792,1120069000,성수2가3동,1120011500,성수동2가
서울 성동구,서울숲충전소,서울 성동구 성수동1가 656-1119,02-463-5616,자동차충전,서울 성동구 성수동1가 656-1119,959801,1950036,정좌표,1.12001E+18,구주소,서울특별시 성동구 아차산로1길 1,서울특별시 성동구 성수동1가 656-1119,4789,1120066000,성수1가2동,1120011400,성수동1가
서울 성북구,우일에너지(주),서울 성북구 하월곡1동 88-681,02-913-8722,자동차충전,서울 성북구 하월곡1동 88-681,957343,1954558,시군구 좌표,11290,판별불가,,서울특별시 성북구,NULL,,,,
서울 성북구,(주)장위가스,서울 성북구 장위3동 44-3,02-916-3233,자동차충전,서울 성북구 장위3동 44-3,961219,1957191,정좌표,1.12908E+18,구주소,서울특별시 성북구 화랑로 291,서울특별시 성북구 장위동 44-3,2779,1129078000,장위3동,1129013800,장위동
서울 송파구,잠실복지충전소,서울 송파구 잠실동 336-9,02-415-3311,자동차충전,서울 송파구 잠실동 336-9,963495,1945008,정좌표,1.17101E+18,구주소,서울특별시 송파구 삼전로 47,서울특별시 송파구 잠실동 336-9,5578,1171065000,잠실본동,1171010100,잠실동
서울 송파구,오금가스충전소,서울 송파구 오금동 31-4,02-402-5151,자동차충전,서울 송파구 오금동 31-4,967445,1945281,정좌표,1.17101E+18,구주소,서울특별시 송파구 마천로 103,서울특별시 송파구 오금동 31-4,5655,1171057000,오금동,1171011200,오금동
서울 송파구,홍익에너지(주),서울 송파구 석촌동 183-1,02-412-5151,자동차충전,서울 송파구 석촌동 183-1,964968,1945502,정좌표,1.17101E+18,구주소,서울특별시 송파구 석촌호수로 242,서울특별시 송파구 석촌동 183-1,5609,1171060000,석촌동,1171010500,석촌동
서울 송파구,MG새마을금고 송파충전소,서울 송파구 장지동 544-3,02-449-9123,자동차충전,서울 송파구 장지동 544-3,967406,1941881,정좌표,1.17101E+18,구주소,,서울특별시 송파구 장지동 544-3,NULL,1171064600,장지동,1171010900,장지동
서울 양천구,복지신정충전소,서울 양천구 신정동 162-15외 5필지,02-2645-4600,자동차충전,서울 양천구 신정동 162-15외 5필지,944425,1945523,정좌표,1.14701E+18,구주소,서울특별시 양천구 안양천로 669,서울특별시 양천구 신정동 162-15,8103,1147068000,신정7동,1147010100,신정동
서울 양천구,수도에너지(주),서울 양천구 신정동 813-17,02-2060-7160,자동차충전,서울 양천구 신정동 813-17,941585,1945512,정좌표,1.14701E+18,구주소,서울특별시 양천구 신정로 146,서울특별시 양천구 신정동 813-17,8110,1147064000,신정3동,1147010100,신정동
서울 양천구,(주)대흥가스,서울 양천구 신월1동 131-7,02-2693-0535,자동차충전,서울 양천구 신월1동 131-7,940977,1948184,정좌표,1.14706E+18,구주소,서울특별시 양천구 남부순환로 411,서울특별시 양천구 신월동 131-7,7921,1147056000,신월1동,1147010300,신월동
서울 양천구,비케이서비스산업(주),서울 양천구 신월동 53-1 LPG충전소,02-2692-9909,자동차충전,서울 양천구 신월동 53-1 LPG충전소,940511,1949067,정좌표,1.14701E+18,구주소,서울특별시 양천구 남부순환로 311,서울특별시 양천구 신월동 53-1,7904,1147060000,신월5동,1147010300,신월동
서울 양천구,(주)남양가스,서울 양천구 신월7동 998-4,02-2603-2345,자동차충전,서울 양천구 신월7동 998-4,941432,1947019,정좌표,1.14706E+18,구주소,서울특별시 양천구 남부순환로 538,서울특별시 양천구 신월동 998-4,8041,1147061100,신월7동,1147010300,신월동
서울 양천구,목동충전소,서울 양천구 신정4동 994-4,02-2604-6141,자동차충전,서울 양천구 신정4동 994-4,943810,1947555,정좌표,1.14707E+18,구주소,서울특별시 양천구 목동로 193,서울특별시 양천구 신정동 994-4,8022,1147065000,신정4동,1147010100,신정동
서울 영등포구,(주)세지,서울 영등포구 문래동6가 1-3,02-2677-9775,자동차충전,서울 영등포구 문래동6가 1-3,945960,1946643,정좌표,1.15601E+18,구주소,서울특별시 영등포구 선유로 37,서울특별시 영등포구 문래동6가 1-3,7281,1156060500,문래동,1156012400,문래동6가
서울 영등포구,기린에너지,서울 영등포구 양평동4가 158 (기린충전소),02-2068-7800,자동차충전,서울 영등포구 양평동4가 158 (기린충전소),946926,1948694,정좌표,1.15601E+18,구주소,서울특별시 영등포구 선유로 270,서울특별시 영등포구 양평동4가 158,7222,1156062000,양평2동,1156012800,양평동4가
서울 영등포구,양평동충전소,서울 영등포구 양평동3가 59,02-2672-1175,자동차충전,서울 영등포구 양평동3가 59,946203,1947810,정좌표,1.15601E+18,구주소,서울특별시 영등포구 선유로 157,서울특별시 영등포구 양평동3가 59,NULL,1156061000,양평1동,1156012700,양평동3가
서울 은평구,신흥에너지산업(주),서울 은평구 증산동 223-9,02-373-0051,자동차충전,서울 은평구 증산동 223-9,947046,1953442,정좌표,1.13801E+18,구주소,서울특별시 은평구 수색로 199,서울특별시 은평구 증산동 223-9,3504,1138064000,증산동,1138011000,증산동
서울 은평구,(주)삼표에너지 수색충전소,서울 은평구 증산동 223-5 (삼표에너지),02-372-7113,자동차충전,서울 은평구 증산동 223-5 (삼표에너지),947019,1953435,정좌표,1.13801E+18,구주소,서울특별시 은평구 수색로 181,서울특별시 은평구 증산동 223-5,3504,1138064000,증산동,1138011000,증산동
서울 은평구,은평서부충전소,서울 은평구 진관동 35 (은평서부충전소 제1동),02-352-4806,자동차충전,서울 은평구 진관동 35 (은평서부충전소 제1동),948940,1960623,정좌표,1.13801E+18,구주소,서울특별시 은평구 통일로 1186,서울특별시 은평구 진관동 35,3300,1138069000,진관동,1138011400,진관동
서울 중랑구,신내LPG충전소,서울 중랑구 신내동 317-7,02-2208-5151,자동차충전,서울 중랑구 신내동 317-7,964532,1957238,정좌표,1.12601E+18,구주소,서울특별시 중랑구 용마산로 691,서울특별시 중랑구 신내동 317-7,2053,1126068000,신내1동,1126010600,신내동
서울 중랑구,(주)풍림에너지,서울 중랑구 면목5동 169-6,02-434-0557,자동차충전,서울 중랑구 면목5동 169-6,962854,1953441,정좌표,1.12606E+18,구주소,서울특별시 중랑구 동일로 553,서울특별시 중랑구 면목동 169-6,2235,1126055000,면목5동,1126010100,면목동
서울 중랑구,동일석유(주)황금충전소,서울 중랑구 중화2동 208-11,02-435-2627,자동차충전,서울 중랑구 중화2동 208-11,962560,1955060,정좌표,1.12606E+18,구주소,서울특별시 중랑구 망우로 209,서울특별시 중랑구 중화동 208-11,2116,1126061000,중화2동,1126010300,중화동
서울 중랑구,망우충전소,서울 중랑구 망우1동 340-16,02-432-5400,자동차충전,서울 중랑구 망우1동 340-16,964860,1955760,정좌표,1.12607E+18,구주소,서울특별시 중랑구 망우로 449,서울특별시 중랑구 망우동 340-16,2059,1126065500,망우본동,1126010500,망우동
부산 강서구,신명지에너지,부산 강서구 명지동 1498-2번지,051-271-2464,자동차충전,부산 강서구 명지동 1498-2번지,1130105,1678989,정좌표,2.64401E+18,구주소,부산광역시 강서구 르노삼성대로 560,부산광역시 강서구 명지동 1498-2,46773,2644053500,명지1동,2644010400,명지동
부산 강서구,르노삼성자동차(주),부산 강서구 신호동 185번지(안전팀),051-979-9085,자동차충전,부산 강서구 신호동 185번지(안전팀),1125411,1678593,정좌표,2.64401E+18,구주소,부산광역시 강서구 르노삼성대로 61,부산광역시 강서구 신호동 185,46758,2644056000,녹산동,2644011700,신호동
부산 강서구,가락충전소,부산 강서구 죽동동 122-1,051-971-3430,자동차충전,부산 강서구 죽동동 122-1,1126544,1691241,정좌표,2.64401E+18,구주소,부산광역시 강서구 호계로 195,부산광역시 강서구 죽동동 122-1,46708,2644055000,가락동,2644010700,죽동동
부산 강서구,(주)삼성에너지대저충전소,부산 강서구 대저1동 2787-2,051-941-9808,자동차충전,부산 강서구 대저1동 2787-2,1134241,1691077,정좌표,2.64401E+18,구주소,부산광역시 강서구 체육공원로 24,부산광역시 강서구 대저1동 2787-2,46703,2644051000,대저1동,2644010100,대저1동
부산 강서구,개인택시신공항충전소,부산 강서구 대저1동 3036-1,051-941-3485,자동차충전,부산 강서구 대저1동 3036-1,1133468,1690243,정좌표,2.64401E+18,구주소,부산광역시 강서구 경전철로188번길 95,부산광역시 강서구 대저1동 3036-1,46703,2644051000,대저1동,2644010100,대저1동
부산 강서구,부산공항LPG충전소," 부산 강서구 대저2동 4427,4428 ",051-973-4036,자동차충전,"부산 강서구 대저2동 4427,4428 ",1132260,1684721,정좌표,2.64401E+18,구주소,부산광역시 강서구 공항로 459,부산광역시 강서구 대저2동 4427,46723,2644052000,대저2동,2644010200,대저2동
부산 강서구,죽림LPG충전소,부산 강서구 죽림동 497-1,051-941-2020,자동차충전,부산 강서구 죽림동 497-1,1126864,1690353,정좌표,2.64401E+18,구주소,부산광역시 강서구 호계로 102,부산광역시 강서구 죽림동 497-1,46707,2644055000,가락동,2644010500,죽림동
부산 강서구,(주)지원네트웍스 부산강서LPG충전소,부산 강서구 대저1동 2040,051-972-0245,자동차충전,부산 강서구 대저1동 2040,1133121,1691769,정좌표,2.64401E+18,구주소,부산광역시 강서구 낙동북로 310,부산광역시 강서구 대저1동 2040,46704,2644051000,대저1동,2644010100,대저1동
부산 강서구,신항만에너지,부산 강서구 녹산동 604-7번지,051-973-7625,자동차충전,부산 강서구 녹산동 604-7번지,1125323,1680618,정좌표,2.64401E+18,구주소,부산광역시 강서구 낙동남로 507,부산광역시 강서구 녹산동 604-7,46728,2644056000,녹산동,2644011100,녹산동
부산 금정구,신한가스(주),부산 금정구 금사동 13-17번지,051-521-0300,자동차충전,부산 금정구 금사동 13-17번지,1147238,1692398,정좌표,2.64101E+18,구주소,부산광역시 금정구 반송로 494,부산광역시 금정구 금사동 13-17,46334,2641055500,금사회동동,2641011100,금사동
부산 금정구,(주)신진가스,부산 금정구 금사동 106-18번지,051-523-7948,자동차충전,부산 금정구 금사동 106-18번지,1146653,1692250,정좌표,2.64101E+18,구주소,부산광역시 금정구 반송로 433,부산광역시 금정구 금사동 106-18,46333,2641055500,금사회동동,2641011100,금사동
부산 금정구,(주)해연,부산 금정구 회동동 164 -6,051-528-1133,용기+탱크+13kg용기,부산 금정구 회동동 164 -6,1147615,1694029,정좌표,2.64101E+18,구주소,부산광역시 금정구 개좌로 225-15,부산광역시 금정구 회동동 164-6,46258,2641055500,금사회동동,2641011200,회동동
부산 기장군,정림에너지,부산 기장군 정관읍 예림리 384-2번지,051-727-7867,자동차충전,부산 기장군 정관읍 예림리 384-2번지,1154652,1705023,정좌표,2.67103E+18,구주소,부산광역시 기장군 정관읍 신정관로 187,부산광역시 기장군 정관읍 예림리 384-2,46020,2671025600,정관읍,2671025630,정관읍 예림리
부산 기장군,(주)장안가스충전소주유소,부산 기장군 장안읍 용소리 244-5번지,051-728-8686,자동차충전,부산 기장군 장안읍 용소리 244-5번지,1158857,1706365,정좌표,2.67103E+18,구주소,부산광역시 기장군 장안읍 기장대로 1673,부산광역시 기장군 장안읍 용소리 244-5,46029,2671025300,장안읍,2671025327,장안읍 용소리
