No,충전소명,구분,공급방식,주소,충전소전화번호,용도,비고
24,(주)엔케이텍 서부산,저장식,튜브트레일러,부산 강서구 송정동 803-3번지외1필지,051-711-0580,상업용,
33,대도에너지 수소충전소,저장식,튜브트레일러,부산 사상구 학감대로 167,051-317-2777,상업용,
40,강동구 상일동 수소충전소,저장식,튜브트레일러,서울 강동구 상일동 443-9,02-426-5372,상업용,
7,서울특별시 상암수소스테이션,제조식,개질(NG+매립가스),서울 마포구 하늘공원로 86,02-3151-0336,상업용,
6,현대자동차㈜ 양재그린에너지스테이션,저장식,튜브트레일러,서울 서초구 바우뫼로12길 73,02-2058-1351,상업용,휴지
34,수소에너지네트워크(주) 국회 수소충전소,저장식,튜브트레일러,서울 영등포구 의사당대로 1,070-8882-7742,상업용,
48,하이넷 세종청사 수소충전소,저장식,튜브트레일러,세종 어진동 567,044-905-5100,상업용,
14,(주)옥동엘피지수소 수소복합충전소,저장식,튜브트레일러,울산 남구 남부순환도로 465,052-265-5540,상업용,
4,에스앤디㈜-울산수소충전소,저장식,튜브트레일러,울산 남구 장생포고래로 317,052-226-6000,연구용,휴지
9,㈜덕양 매암수소충전소,저장식,튜브트레일러,울산 남구 장생포고래로29번길 5,070-4421-1688,상업용,
17,경동 수소충전소,저장식,튜브트레일러,울산 북구 북부순환도로 1165,052-288-0610,상업용,
29,언양(서울) 수소충전소,저장식,튜브트레일러,울산 울주군 언양읍 경부고속도로 44,052-263-6146,상업용,
22,그린주유소 수소복합충전소,저장식,튜브트레일러,울산 울주군 온산읍 온산로 256,052-239-9600,상업용,
18,㈜신일 복합충전소,저장식,튜브트레일러,울산 울주군 웅촌면 웅촌로 490,052-225-1500,상업용,
37,논현충전소(복합수소자동차충전소),저장식,튜브트레일러,인천 남동구 고잔동 246-15 외 2필지,032-446-9094,상업용,
2,한국가스공사 H2/HCNG복합충전소,제조식,개질(NG),인천 연수구 인천신항대로 960,032-810-0388,연구용,미가동
47,하이넷 에스피지 수소충전소,저장식,배관공급,전남 여수시 여수산단로 603,070-5014-4446,상업용,
30,한국도로공사 백양사(논산)휴게소 수소충전소,저장식,튜브트레일러,전남 장성군 북일면 호남고속도로 108-1,061-393-0257,상업용,
8,한국에너지기술연구원,제조식,수전해,전북 부안군 하서면 신재생에너지로 20-41,063-580-1670,연구용,휴지
39,(재)전북테크노파크 완주수소충전소,저장식,튜브트레일러,전북 완주군 봉동읍 둔산리 951-6,063-262-0083,상업용,
49,전주 제1호 수소충전소,저장식,튜브트레일러,"전북 전주시 덕진구 송천동2가 1186-2,1190,1191",,상업용,미개소
36,당진H2 STATION,저장식,튜브트레일러,충남 당진시 송산면 동곡리 358,041-358-7571,상업용(현재 실증용),
12,충남테크노파크 내포신도시수소충전소,저장식,튜브트레일러,충남 홍성군 홍북면 용봉로 234,041-635-1248,상업용,
42,(합자)도원주유소 수소충전소,저장식,튜브트레일러,충북 청주시 청원구 내수읍 충청대로 771,043-214-7788,상업용,
43,청주수소충전소,저장식,튜브트레일러,충북 청주시 청원구 오창읍 양청농소길 102,043-211-6604,상업용,
25,현대모비스㈜ 수소충전소,저장식,튜브트레일러,충북 충주시 대소원면 기업도시1로 47,043-720-9000,상업용,
44,연수LPG충전소,저장식,튜브트레일러,충북 충주시 연수동 315-6,043-856-8338,상업용,
35,중부고속도로 하남드림휴게소,저장식,튜브트레일러,하남시 중부고속도로 117-1 하남드림휴게소,031-793-5800,상업용,
