행정 구역,업소명,소재지,전화번호,관리구분,입력주소,경도,위도
서울 서대문구,테스트업소,서울 서대문구 충정로 53유원골든타워오피스텔10층1002 (충정로2가) 139,02-750-1253,기타,서울 서대문구 충정로 53유원골든타워오피스텔10층1002 (충정로2가) 139,126.9646482,37.5637544
서울 서초구,(주)에이치앤디이-서울만남의광장,서울 서초구 원지동 10-16,02-573-7430,자동차충전,서울 서초구 원지동 10-16,127.042163,37.4600853
서울 서초구,서초충전소,서울 서초구 방배동 623-5,02-582-3636,자동차충전,서울 서초구 방배동 623-5,126.9953379,37.4732032
서울 서초구,수도석유(주)방배충전소,서울 서초구 방배동 443-1 (수도석유(주)방배충전소),02-582-4141,자동차충전,서울 서초구 방배동 443-1 (수도석유(주)방배충전소),126.9821327,37.4790732
서울 서초구,(주)영동가스,서울 서초구 잠원동 55-6,02-534-2350,자동차충전,서울 서초구 잠원동 55-6,127.0118298,37.5188993
서울 성동구,대성산업(주)동부충전소,서울 성동구 성수동2가 284-108,02-463-2202,자동차충전,서울 성동구 성수동2가 284-108,127.0523129,37.5505064
서울 성동구,서울숲충전소,서울 성동구 성수동1가 656-1119,02-463-5616,자동차충전,서울 성동구 성수동1가 656-1119,127.044922,37.548789
서울 성북구,우일에너지(주),서울 성북구 하월곡1동 88-681,02-913-8722,자동차충전,서울 성북구 하월곡1동 88-681,127.0168312,37.5894385
서울 성북구,(주)장위가스,서울 성북구 장위3동 44-3,02-916-3233,자동차충전,서울 성북구 장위3동 44-3,127.0605887,37.613339
서울 송파구,잠실복지충전소,서울 송파구 잠실동 336-9,02-415-3311,자동차충전,서울 송파구 잠실동 336-9,127.0869831,37.5036277
서울 송파구,오금가스충전소,서울 송파구 오금동 31-4,02-402-5151,자동차충전,서울 송파구 오금동 31-4,127.1316618,37.5062352
서울 송파구,홍익에너지(주),서울 송파구 석촌동 183-1,02-412-5151,자동차충전,서울 송파구 석촌동 183-1,127.1036342,37.5081343
서울 송파구,MG새마을금고 송파충전소,서울 송파구 장지동 544-3,02-449-9123,자동차충전,서울 송파구 장지동 544-3,127.1313721,37.4755881
서울 양천구,복지신정충전소,서울 양천구 신정동 162-15외 5필지,02-2645-4600,자동차충전,서울 양천구 신정동 162-15외 5필지,126.8712004,37.5073131
서울 양천구,수도에너지(주),서울 양천구 신정동 813-17,02-2060-7160,자동차충전,서울 양천구 신정동 813-17,126.8390716,37.5070378
서울 양천구,(주)대흥가스,서울 양천구 신월1동 131-7,02-2693-0535,자동차충전,서울 양천구 신월1동 131-7,126.8319784,37.5310885
서울 양천구,비케이서비스산업(주),서울 양천구 신월동 53-1 LPG충전소,02-2692-9909,자동차충전,서울 양천구 신월동 53-1 LPG충전소,126.8266272,37.5390095
서울 양천구,(주)남양가스,서울 양천구 신월7동 998-4,02-2603-2345,자동차충전,서울 양천구 신월7동 998-4,126.837221,37.5206162
서울 양천구,목동충전소,서울 양천구 신정4동 994-4,02-2604-6141,자동차충전,서울 양천구 신정4동 994-4,126.8640918,37.5255901
서울 영등포구,(주)세지,서울 영등포구 문래동6가 1-3,02-2677-9775,자동차충전,서울 영등포구 문래동6가 1-3,126.8884901,37.5174966
서울 영등포구,기린에너지,서울 영등포구 양평동4가 158 (기린충전소),02-2068-7800,자동차충전,서울 영등포구 양평동4가 158 (기린충전소),126.8992695,37.5360418
서울 영등포구,양평동충전소,서울 영등포구 양평동3가 59,02-2672-1175,자동차충전,서울 영등포구 양평동3가 59,126.8911508,37.5280367
서울 은평구,신흥에너지산업(주),서울 은평구 증산동 223-9,02-373-0051,자동차충전,서울 은평구 증산동 223-9,126.9002813,37.5788412
서울 은평구,(주)삼표에너지 수색충전소,서울 은평구 증산동 223-5 (삼표에너지),02-372-7113,자동차충전,서울 은평구 증산동 223-5 (삼표에너지),126.8999766,37.5787753
서울 은평구,은평서부충전소,서울 은평구 진관동 35 (은평서부충전소 제1동),02-352-4806,자동차충전,서울 은평구 진관동 35 (은평서부충전소 제1동),126.9212293,37.6436741
서울 중랑구,신내LPG충전소,서울 중랑구 신내동 317-7,02-2208-5151,자동차충전,서울 중랑구 신내동 317-7,127.0981299,37.6139022
서울 중랑구,(주)풍림에너지,서울 중랑구 면목5동 169-6,02-434-0557,자동차충전,서울 중랑구 면목5동 169-6,127.0793084,37.5796075
서울 중랑구,동일석유(주)황금충전소,서울 중랑구 중화2동 208-11,02-435-2627,자동차충전,서울 중랑구 중화2동 208-11,127.0759015,37.5941867
서울 중랑구,망우충전소,서울 중랑구 망우1동 340-16,02-432-5400,자동차충전,서울 중랑구 망우1동 340-16,127.1019146,37.6005867
부산 강서구,신명지에너지,부산 강서구 명지동 1498-2번지,051-271-2464,자동차충전,부산 강서구 명지동 1498-2번지,128.9274363,35.0976521
부산 강서구,르노삼성자동차(주),부산 강서구 신호동 185번지(안전팀),051-979-9085,자동차충전,부산 강서구 신호동 185번지(안전팀),128.8758885,35.0946822
부산 강서구,가락충전소,부산 강서구 죽동동 122-1,051-971-3430,자동차충전,부산 강서구 죽동동 122-1,128.890256,35.208551
부산 강서구,(주)삼성에너지대저충전소,부산 강서구 대저1동 2787-2,051-941-9808,자동차충전,부산 강서구 대저1동 2787-2,128.9747606,35.2060794
부산 강서구,개인택시신공항충전소,부산 강서구 대저1동 3036-1,051-941-3485,자동차충전,부산 강서구 대저1동 3036-1,128.9661394,35.1986579
부산 강서구,부산공항LPG충전소," 부산 강서구 대저2동 4427,4428 ",051-973-4036,자동차충전,"부산 강서구 대저2동 4427,4428 ",128.9519878,35.14904
부산 강서구,죽림LPG충전소,부산 강서구 죽림동 497-1,051-941-2020,자동차충전,부산 강서구 죽림동 497-1,128.8936275,35.2005127
부산 강서구,(주)지원네트웍스 부산강서LPG충전소,부산 강서구 대저1동 2040,051-972-0245,자동차충전,부산 강서구 대저1동 2040,128.9625795,35.2124595
부산 강서구,신항만에너지,부산 강서구 녹산동 604-7번지,051-973-7625,자동차충전,부산 강서구 녹산동 604-7번지,128.8752282,35.1129405
부산 금정구,신한가스(주),부산 금정구 금사동 13-17번지,051-521-0300,자동차충전,부산 금정구 금사동 13-17번지,129.1177341,35.2161562
부산 금정구,(주)신진가스,부산 금정구 금사동 106-18번지,051-523-7948,자동차충전,부산 금정구 금사동 106-18번지,129.1112808,35.2149086
부산 금정구,(주)해연,부산 금정구 회동동 164 -6,051-528-1133,용기+탱크+13kg용기,부산 금정구 회동동 164 -6,129.1221755,35.2308074
부산 기장군,정림에너지,부산 기장군 정관읍 예림리 384-2번지,051-727-7867,자동차충전,부산 기장군 정관읍 예림리 384-2번지,129.2015425,35.3288341
부산 기장군,(주)장안가스충전소주유소,부산 기장군 장안읍 용소리 244-5번지,051-728-8686,자동차충전,부산 기장군 장안읍 용소리 244-5번지,129.2480446,35.3402697
부산 기장군,KH에너지(주)직영장안충전소(부산방향)," 부산 기장군 장안읍 장안리 산31-1, 산33-1 ",051-728-5157,자동차충전,"부산 기장군 장안읍 장안리 산31-1, 산33-1 ",129.2253792,35.3727065
부산 기장군,KH에너지(주)직영장안충전소(울산방향),부산 기장군 장안읍 명례리 산78-1,051-728-5157,자동차충전,부산 기장군 장안읍 명례리 산78-1,129.248496,35.3817446
부산 기장군,월드컵충전소,부산 기장군 일광면 원리 68-3번지외 4필지,051-727-9990,자동차+13kg용기,부산 기장군 일광면 원리 68-3번지외 4필지,129.2384352,35.3016378
부산 기장군,아시아드충전소," 부산 기장군 일광면 화전리 90-7, 90-1번지 ",051-722-8701,자동차충전,"부산 기장군 일광면 화전리 90-7, 90-1번지 ",129.2334686,35.2822735
부산 기장군,이원기장오렌지충전소,부산 기장군 기장읍 만화리 331-1번지,051-722-9489,자동차충전,부산 기장군 기장읍 만화리 331-1번지,129.1975414,35.2543589
부산 기장군,개인택시동부산충전소,부산 기장군 철마면 고촌리 508-1번지,051-723-2090,자동차충전,부산 기장군 철마면 고촌리 508-1번지,129.1637065,35.2358325
부산 기장군,선암가스충전소,부산 기장군 장안읍 좌동리 270-6번지,051-727-1212,자동차+13kg용기,부산 기장군 장안읍 좌동리 270-6번지,129.2411817,35.3216465
부산 기장군,한국에너지산업(주),부산 기장군 기장읍 청강리 705-8번지,051-722-5152,용기+자동차+탱크+13kg용기,부산 기장군 기장읍 청강리 705-8번지,129.2156973,35.2354026
부산 기장군,광신개발(주)직영 정관가스충전소," 부산 기장군 정관읍 예림리 329-4,330,331 ",051-728-6228,자동차+13kg용기,"부산 기장군 정관읍 예림리 329-4,330,331 ",129.2110603,35.3246741
부산 기장군,동양가스산업(주),부산 기장군 기장읍 청강리 12-1번지,051-721-6838,자동차충전,부산 기장군 기장읍 청강리 12-1번지,129.2207453,35.2423643
부산 기장군,마라톤가스(주)청강충전소," 부산 기장군 기장읍 청강리 538-1,537-5 ",051-724-5672,자동차충전,"부산 기장군 기장읍 청강리 538-1,537-5 ",129.2139392,35.2257937
부산 기장군,(주)금륜에너지 삼성가스충전소,부산 기장군 일광면 삼성리 512-9,051-722-5170,자동차충전,부산 기장군 일광면 삼성리 512-9,129.2240343,35.2565095
부산 기장군,곰내터널충전소,부산 기장군 정관읍 매학리 122-1외 2필지,051-728-2311,자동차충전,부산 기장군 정관읍 매학리 122-1외 2필지,129.1759199,35.3169809
부산 남구,광진기업(주)대연영업소,부산 남구 대연동 1751-5,051-627-3133,자동차충전,부산 남구 대연동 1751-5,129.0896817,35.1346837
부산 동구,개인택시 중앙LPG충전소,부산 동구 초량3동 1151-7,051-463-4181,자동차충전,부산 동구 초량3동 1151-7,129.0462356,35.125683
부산 동구,문화가스충전소,부산 동구 초량동 1149-3,051-463-5111,자동차충전,부산 동구 초량동 1149-3,129.0472452,35.1265577
부산 동구,마라톤가스(주)초량충전소,부산 동구 초량3동 1157-10,051-463-5921,자동차충전,부산 동구 초량3동 1157-10,129.0448537,35.1240003
부산 동구,개인택시남부LPG충전소," 부산 동구 좌천동 68-877,68-876번지 ",051-634-6500,자동차충전,"부산 동구 좌천동 68-877,68-876번지 ",129.0547493,35.1307742
부산 동구,한국가스산업(주),부산 동구 범일동 830-120,051-635-3300,용기+자동차+13kg용기,부산 동구 범일동 830-120,129.0627608,35.1402049
부산 동래구,(주)삼성에너지,부산 동래구 수안동 80-5번지,051-555-3100,용기+자동차+13kg용기,부산 동래구 수안동 80-5번지,129.0846756,35.1981409
부산 북구,한국가스산업(주)구포충전소,부산 북구 구포동 1119-4,051-304-6051,자동차충전,부산 북구 구포동 1119-4,128.990633,35.199091
부산 북구,비케이에너지(주)동양가스충전소,부산 북구 덕천동 547번지,051-333-0036,용기+자동차+13kg용기,부산 북구 덕천동 547번지,129.0059231,35.2190027
부산 북구,(주)삼보,부산 북구 만덕동 산19-5,051-336-2000,자동차충전,부산 북구 만덕동 산19-5,129.0398786,35.2132715
부산 북구,개인택시 금곡역충전소,부산 북구 금곡동 516-1번지,051-365-4665,자동차충전,부산 북구 금곡동 516-1번지,129.0186707,35.2695626
부산 사상구,(주)성은에너지제2충전소,부산 사상구 엄궁동 651-3 외 3필지,051-313-4028,자동차충전,부산 사상구 엄궁동 651-3 외 3필지,128.9619318,35.1220637
부산 사상구,대성산업(주)부산대성충전소,부산 사상구 덕포2동 394-4,051-303-4747,용기+자동차+13kg용기,부산 사상구 덕포2동 394-4,128.9839288,35.1749433
부산 사상구,(사)부산광역시 개인택시운송사업조합 사상LPG충전소," 부산 사상구 학장동 629-1,2번지 ",051-327-9446,자동차충전,"부산 사상구 학장동 629-1,2번지 ",128.9730236,35.1349824
부산 사상구,MS에너지(주)학장충전소,부산 사상구 학장동 264-5,051-315-7174,자동차충전,부산 사상구 학장동 264-5,128.985143,35.1427176
부산 사상구,광신가스(주),부산 사상구 감전동 500-1,051-311-0131,용기+자동차+13kg용기,부산 사상구 감전동 500-1,128.9692947,35.1443958
부산 사상구,팔성가스충전소,부산 사상구 감전동 163-13,051-314-3555,자동차+13kg용기,부산 사상구 감전동 163-13,128.9810214,35.1513323
부산 사상구,한국가스산업(주)사상영업소,부산 사상구 감전동 158-13,051-326-3131,용기+자동차+13kg용기,부산 사상구 감전동 158-13,128.990005,35.1500154
부산 사상구,(주)덕양에너지 직영 구덕산충전소,부산 사상구 학장동 194-18번지,051-312-0085,자동차충전,부산 사상구 학장동 194-18번지,128.9897497,35.140715
부산 사상구,(주)MS가스,부산 사상구 학장동 276-22,051-325-5501,용기+13kg용기,부산 사상구 학장동 276-22,128.9901012,35.1452732
부산 사상구,극동유화(주)주례충전소,부산 사상구 주례동 691-28번지,051-322-4779,자동차+13kg용기,부산 사상구 주례동 691-28번지,128.9946713,35.1501845
부산 사상구,광신디엔에이(주)서부충전소,부산 사상구 삼락동 361-2,051-305-7948,자동차충전,부산 사상구 삼락동 361-2,128.976821,35.1837083
부산 사상구,극동유화(주)감전충전소,부산 사상구 감전동 507-13번지,051-320-8500,용기+자동차+탱크+13kg용기,부산 사상구 감전동 507-13번지,128.9710634,35.1390093
부산 사하구,마라톤가스(주),부산 사하구 장림동 100-1외 2번지,051-263-2288,자동차충전,부산 사하구 장림동 100-1외 2번지,128.9801551,35.0845276
부산 사하구,개인택시사하엘피지충전소,부산 사하구 신평동 536-3~5번지,051-204-8630,자동차충전,부산 사하구 신평동 536-3~5번지,128.9694193,35.0863716
부산 사하구,부산엘피지충전소,부산 사하구 장림동 1112번지,051-264-9752,자동차충전,부산 사하구 장림동 1112번지,128.9641468,35.0828441
부산 사하구,(주)신성에너지은광가스충전소,부산 사하구 감천동 805-9,051-206-3326,용기+자동차+13kg용기,부산 사하구 감천동 805-9,128.994324,35.0900099
부산 사하구,광신가스(주)대신충전소,부산 사하구 신평1동 370-53,051-205-8800,자동차충전,부산 사하구 신평1동 370-53,128.9679759,35.0913679
부산 사하구,(주)신광에너지 장림충전소,부산 사하구 장림동 177-10,051-263-7742,자동차충전,부산 사하구 장림동 177-10,128.9790666,35.0833645
부산 사하구,광진기업(주)장림영업소,부산 사하구 장림2동 370-7,051-263-3131,용기+자동차+13kg용기,부산 사하구 장림2동 370-7,128.9770571,35.0748624
부산 서구,(주)신광에너지,부산 서구 남부민동 692번지,051-248-7365,용기+자동차+13kg용기,부산 서구 남부민동 692번지,129.0249663,35.0866089
부산 수영구,(주)수영에너지산업,부산 수영구 수영동 516,051-751-3436,자동차충전,부산 수영구 수영동 516,129.1213025,35.1681159
부산 연제구,부산개인택시엘피지충전소,부산 연제구 거제동 1368,051-507-8983,자동차충전,부산 연제구 거제동 1368,129.0554739,35.186041
부산 연제구,마라톤가스(주)새동래충전소,부산 연제구 거제동 152-9,051-501-7635,자동차충전,부산 연제구 거제동 152-9,129.0817016,35.1966261
부산 영도구,개인택시 영도LPG충전소,부산 영도구 동삼동 254-19,051-403-8987,자동차충전,부산 영도구 동삼동 254-19,129.0765075,35.0824305
부산 영도구,부산에너지,부산 영도구 청학동 1-46,051-403-5752,용기+자동차+탱크+13kg용기,부산 영도구 청학동 1-46,129.0697656,35.0909813
부산 영도구,(주)태종에너지 영도충전소,부산 영도구 영선동4가 7-1,051-415-1837,자동차충전,부산 영도구 영선동4가 7-1,129.04021,35.0849287
부산 해운대구,이원 해운대LPG충전소,부산 해운대구 송정동 79-1,051-704-9196,용기+자동차+탱크+13kg용기,부산 해운대구 송정동 79-1,129.2053935,35.1968462
대구 남구,(주)경북가스남부충전소,대구 남구 대명10동 1226-43,053-624-4834,자동차충전,대구 남구 대명10동 1226-43,128.5595301,35.8396603
대구 달서구,SK가스세영충전소,대구 달서구 갈산동 100-63,053-581-6145,용기+탱크+13kg용기,대구 달서구 갈산동 100-63,128.5101367,35.8462886
대구 달서구,남대구IC충전소,대구 달서구 장동 55-3외,053-592-8600,자동차+13kg용기,대구 달서구 장동 55-3외,128.51789,35.8367014
대구 달서구,대성산업(주)구마충전소,대구 달서구 본리동 657-1,053-521-9537,자동차충전,대구 달서구 본리동 657-1,128.5350209,35.837771
대구 달서구,(주)한성엘피지,대구 달서구 월성동 890,053-593-3111,자동차충전,대구 달서구 월성동 890,128.5205225,35.8347071
대구 달서구,대천에너지," 대구 달서구 대천동 759-21,759-15 ",053-581-5050,자동차충전,"대구 달서구 대천동 759-21,759-15 ",128.5053266,35.8157359
대구 달서구,대구LPG충전소,대구 달서구 상인동 1384,053-632-3381,용기+자동차+13kg용기,대구 달서구 상인동 1384,128.5462646,35.8228666
대구 달서구,대구개인택시운송사업조합제2충전소,대구 달서구 감삼동 467-4,053-559-0102,자동차충전,대구 달서구 감삼동 467-4,128.5364548,35.846877
대구 달서구,SK대구가스충전소,대구 달서구 성당1동 126-3,053-656-8017,자동차충전,대구 달서구 성당1동 126-3,128.5662595,35.8473351
대구 달서구,대기에너지(주)," 대구 달서구 감삼동 64-2,3,4 ",053-553-8800,자동차충전,"대구 달서구 감삼동 64-2,3,4 ",128.5444589,35.8533846
대구 달서구,계명LPG충전소,대구 달서구 이곡동 1000-261,053-584-5311,자동차충전,대구 달서구 이곡동 1000-261,128.5037827,35.8516061
대구 달서구,구상엘피지충전소," 대구 달서구 월암동 1107-2,3 ",053-581-7700,자동차충전,"대구 달서구 월암동 1107-2,3 ",128.5186285,35.8294245
대구 달성군,현풍(하)LPG충전소 풀무원식품(주),대구 달성군 현풍면 성하리 275,053-614-2437,자동차충전,대구 달성군 현풍면 성하리 275,128.4340002,35.702752
대구 달성군,그린에너지프라자,대구 달성군 논공읍 삼리리 31-6,053-616-8008,자동차충전,대구 달성군 논공읍 삼리리 31-6,128.4129692,35.7709136
대구 달성군,한국도로공사 현풍LPG충전소(대구방향),대구 달성군 현풍면 성하리 725-19,053-614-2508,자동차충전,대구 달성군 현풍면 성하리 725-19,128.44151,35.6959105
대구 달성군,홍토가스충전소,대구 달성군 논공읍 남리 116-1,053-616-3800,자동차충전,대구 달성군 논공읍 남리 116-1,128.4300226,35.7296084
대구 달성군,(주)한성엘피지옥포충전소,대구 달성군 옥포면 기세리 969-58번지,053-617-8010,자동차충전,대구 달성군 옥포면 기세리 969-58번지,128.4886706,35.7648794
대구 달성군,봄봄봄LPG충전소,대구 달성군 구지면 내리 845-11,053-615-5188,자동차충전,대구 달성군 구지면 내리 845-11,128.4227755,35.6404002
대구 달성군,문산엘피지충전소,대구 달성군 다사읍 문산리 40-5번지,053-584-7089,자동차충전,대구 달성군 다사읍 문산리 40-5번지,128.4327896,35.860824
대구 달성군,달성엘피지충전소,대구 달성군 현풍면 성하리 100,053-616-0777,자동차충전,대구 달성군 현풍면 성하리 100,128.4425811,35.7117884
대구 달성군,가창엘피지충전소,대구 달성군 가창면 용계리 444,053-768-1990,자동차충전,대구 달성군 가창면 용계리 444,128.6288856,35.792701
대구 달성군,가람충전소," 대구 달성군 현풍면 성하리 164-6, 165 ",053-616-5183,자동차충전,"대구 달성군 현풍면 성하리 164-6, 165 ",128.4365205,35.7069612
대구 달성군,논공(대구방향)충전소,대구 달성군 논공읍 삼리리 462-1,053-4304-0630,자동차충전,대구 달성군 논공읍 삼리리 462-1,128.402571,35.7661357
대구 달성군,논공(광주방향)충전소,대구 달성군 논공읍 삼리리 460,053-4304-0610,자동차충전,대구 달성군 논공읍 삼리리 460,128.4011893,35.7662846
대구 동구,신대한LPG제1,대구 동구 신천3동 45-7,053-752-8411,자동차충전,대구 동구 신천3동 45-7,128.6218795,35.8759654
대구 동구,(주)경북가스,대구 동구 효목동 291-4,053-751-7777,용기+자동차+13kg용기,대구 동구 효목동 291-4,128.636025,35.8805511
대구 동구,아주에너지(주)아주LPG충전소,대구 동구 불로동 955-21,053-985-9851,자동차충전,대구 동구 불로동 955-21,128.6313172,35.9013782
대구 동구,팔공산엘피지충전소,대구 동구 덕곡동 205-4번지,053-986-8030,자동차충전,대구 동구 덕곡동 205-4번지,128.6156003,35.9917435
대구 동구,동도엘피지충전소,대구 동구 용계동 763-12,053-962-1212,자동차충전,대구 동구 용계동 763-12,128.6902592,35.8716172
